o_hom	e_hom	nm	miss
286208	2.86E+05	350939	0.0008456
285855	2.86E+05	350825	0.00117
287553	2.86E+05	350992	0.0006947
287047	2.86E+05	350976	0.0007402
286917	2.86E+05	350783	0.00129
287702	2.86E+05	350768	0.001332
287761	2.86E+05	350944	0.0008313
285965	2.86E+05	350855	0.001085
286841	2.86E+05	350825	0.00117
286525	2.86E+05	350843	0.001119
286919	2.86E+05	350550	0.001953
286656	2.86E+05	350734	0.001429
286506	2.86E+05	350893	0.0009766
286172	2.86E+05	350797	0.00125
287153	2.86E+05	350741	0.001409
286079	2.86E+05	350817	0.001193
287079	2.86E+05	350908	0.0009338
286140	2.86E+05	350949	0.0008171
286057	2.86E+05	350878	0.001019
286635	2.86E+05	350969	0.0007602
286584	2.86E+05	350684	0.001572
286386	2.86E+05	350743	0.001404
286468	2.86E+05	350673	0.001603
286102	2.86E+05	350921	0.0008968
287256	2.86E+05	350846	0.00111
286284	2.86E+05	350707	0.001506
286314	2.86E+05	350749	0.001387
286347	2.86E+05	350960	0.0007858
285427	2.86E+05	350834	0.001145
286821	2.86E+05	350723	0.001461
286144	2.86E+05	350942	0.000837
285011	2.86E+05	350892	0.0009794
286740	2.86E+05	350782	0.001293
286669	2.86E+05	350874	0.001031
286502	2.86E+05	350779	0.001301
284928	2.86E+05	350592	0.001834
287031	2.86E+05	350965	0.0007716
286863	2.86E+05	350840	0.001127
285651	2.86E+05	350758	0.001361
286117	2.86E+05	350806	0.001224
287021	2.86E+05	350786	0.001281
284497	2.86E+05	349698	0.004379
286495	2.86E+05	350856	0.001082
285933	2.86E+05	350714	0.001486
286606	2.86E+05	350755	0.001369
286280	2.86E+05	351035	0.0005723
286897	2.86E+05	350916	0.0009111
285442	2.86E+05	350685	0.001569
286597	2.86E+05	351034	0.0005751
286267	2.86E+05	350838	0.001133
286298	2.86E+05	350631	0.001722
286762	2.86E+05	350835	0.001142
286332	2.86E+05	350781	0.001295
286279	2.86E+05	350454	0.002226
286601	2.86E+05	350910	0.0009282
286555	2.86E+05	350790	0.00127
286529	2.86E+05	350784	0.001287
286529	2.86E+05	350984	0.0007175
286017	2.86E+05	350715	0.001483
286625	2.86E+05	350875	0.001028
285742	2.86E+05	350770	0.001327
286799	2.86E+05	350706	0.001509
286805	2.86E+05	350923	0.0008911
288567	2.86E+05	350887	0.0009936
286066	2.86E+05	350880	0.001014
286471	2.86E+05	350983	0.0007203
287462	2.86E+05	350910	0.0009282
286100	2.86E+05	350750	0.001384
287145	2.86E+05	351004	0.0006605
286314	2.86E+05	350883	0.001005
284617	2.85E+05	348803	0.006927
286937	2.86E+05	350774	0.001315
287804	2.86E+05	350917	0.0009082
287806	2.86E+05	351012	0.0006377
285641	2.86E+05	350912	0.0009225
286184	2.86E+05	350779	0.001301
285919	2.86E+05	350604	0.001799
286037	2.86E+05	350834	0.001145
285663	2.86E+05	350672	0.001606
285300	2.86E+05	350504	0.002084
286212	2.86E+05	350027	0.003442
285787	2.86E+05	350577	0.001876
286738	2.86E+05	350889	0.0009879
286834	2.86E+05	350674	0.0016
285879	2.86E+05	350499	0.002098
286922	2.86E+05	350759	0.001358
286493	2.86E+05	350692	0.001549
285770	2.86E+05	350878	0.001019
286450	2.86E+05	350864	0.001059
287431	2.86E+05	350947	0.0008228
285490	2.85E+05	348958	0.006486
287337	2.86E+05	350634	0.001714
286641	2.86E+05	351013	0.0006349
286770	2.86E+05	350706	0.001509
283871	2.84E+05	348206	0.008627
285964	2.86E+05	350422	0.002318
286527	2.86E+05	350863	0.001062
286443	2.86E+05	351002	0.0006662
286921	2.86E+05	350890	0.0009851
285703	2.86E+05	350389	0.002411
285642	2.86E+05	350722	0.001463
285666	2.86E+05	350698	0.001532
286501	2.86E+05	350093	0.003254
285960	2.86E+05	350893	0.0009766
286134	2.86E+05	350497	0.002104
286621	2.86E+05	350658	0.001646
286714	2.86E+05	350635	0.001711
285961	2.86E+05	350852	0.001093
286660	2.86E+05	350679	0.001586
286385	2.86E+05	350183	0.002998
286363	2.86E+05	350711	0.001495
286855	2.86E+05	350937	0.0008513
